,0,1,2,3,4,5,6,7,8,9
96,95,Duke,40,162,4.1,Blocked Shots Per Game,2010,,,
97,96,Charleston So.,30,121,4.0,Blocked Shots Per Game,2010,,,
98,97,Villanova,33,133,4.0,Blocked Shots Per Game,2010,,,
99,98,Vermont,35,141,4.0,Blocked Shots Per Game,2010,,,
100,99,Illinois,36,144,4.0,Blocked Shots Per Game,2010,,,
101,-,George Mason,32,128,4.0,Blocked Shots Per Game,2010,,,
102,Blocked Shots Per Game,2010,,,,,,,,
103,101,Hampton,32,127,4.0,Blocked Shots Per Game,2010,,,
104,-,Fairleigh Dickinson,32,127,4.0,Blocked Shots Per Game,2010,,,
105,-,Portland St.,32,127,4.0,Blocked Shots Per Game,2010,,,
106,-,Alabama,32,127,4.0,Blocked Shots Per Game,2010,,,
107,105,Binghamton,31,122,3.9,Blocked Shots Per Game,2010,,,
108,-,Long Island,31,122,3.9,Blocked Shots Per Game,2010,,,
109,107,Detroit,34,133,3.9,Blocked Shots Per Game,2010,,,
110,-,Northwestern,34,133,3.9,Blocked Shots Per Game,2010,,,
111,109,Massachusetts,32,124,3.9,Blocked Shots Per Game,2010,,,
112,110,Southern Utah,29,112,3.9,Blocked Shots Per Game,2010,,,
113,111,St. Bonaventure,31,119,3.8,Blocked Shots Per Game,2010,,,
114,112,A&M-Corpus Chris,32,122,3.8,Blocked Shots Per Game,2010,,,
115,113,Brown,31,118,3.8,Blocked Shots Per Game,2010,,,
116,114,Southern U.,30,114,3.8,Blocked Shots Per Game,2010,,,
117,115,Santa Clara,32,121,3.8,Blocked Shots Per Game,2010,,,
118,116,Xavier,35,132,3.8,Blocked Shots Per Game,2010,,,
119,117,St. John's (NY),33,124,3.8,Blocked Shots Per Game,2010,,,
120,118,Miami (OH),32,120,3.8,Blocked Shots Per Game,2010,,,
121,-,Indiana St.,32,120,3.8,Blocked Shots Per Game,2010,,,
122,120,LSU,31,116,3.7,Blocked Shots Per Game,2010,,,
123,121,Jackson St.,32,119,3.7,Blocked Shots Per Game,2010,,,
124,-,Boise St.,32,119,3.7,Blocked Shots Per Game,2010,,,
125,123,Radford,31,115,3.7,Blocked Shots Per Game,2010,,,
126,124,Texas Southern,33,122,3.7,Blocked Shots Per Game,2010,,,
127,125,Manhattan,31,114,3.7,Blocked Shots Per Game,2010,,,
128,126,Tennessee,37,136,3.7,Blocked Shots Per Game,2010,,,
129,127,Kennesaw St.,33,121,3.7,Blocked Shots Per Game,2010,,,
130,-,Youngstown St.,30,110,3.7,Blocked Shots Per Game,2010,,,
131,129,Bucknell,31,113,3.6,Blocked Shots Per Game,2010,,,
132,130,UTEP,33,120,3.6,Blocked Shots Per Game,2010,,,
133,131,Davidson,31,112,3.6,Blocked Shots Per Game,2010,,,
134,132,Texas-Arlington,30,108,3.6,Blocked Shots Per Game,2010,,,
135,-,McNeese St.,30,108,3.6,Blocked Shots Per Game,2010,,,
136,134,Lamar,32,115,3.6,Blocked Shots Per Game,2010,,,
137,135,Cornell,34,122,3.6,Blocked Shots Per Game,2010,,,
138,136,Northeastern,33,118,3.6,Blocked Shots Per Game,2010,,,
139,137,South Ala.,32,114,3.6,Blocked Shots Per Game,2010,,,
140,138,Southern Miss.,34,121,3.6,Blocked Shots Per Game,2010,,,
141,-,Ark.-Pine Bluff,34,121,3.6,Blocked Shots Per Game,2010,,,
142,140,South Fla.,33,117,3.5,Blocked Shots Per Game,2010,,,
143,141,Drexel,32,113,3.5,Blocked Shots Per Game,2010,,,
144,142,George Washington,31,109,3.5,Blocked Shots Per Game,2010,,,
145,143,Utah St.,35,123,3.5,Blocked Shots Per Game,2010,,,
146,144,BYU,36,126,3.5,Blocked Shots Per Game,2010,,,
147,-,Siena,34,119,3.5,Blocked Shots Per Game,2010,,,
148,-,Canisius,32,112,3.5,Blocked Shots Per Game,2010,,,
149,-,Northern Ill.,30,105,3.5,Blocked Shots Per Game,2010,,,
150,148,Troy,33,115,3.5,Blocked Shots Per Game,2010,,,
151,149,Boston College,31,108,3.5,Blocked Shots Per Game,2010,,,
152,-,St. Joseph's,31,108,3.5,Blocked Shots Per Game,2010,,,
153,Blocked Shots Per Game,2010,,,,,,,,
154,151,Sacred Heart,29,101,3.5,Blocked Shots Per Game,2010,,,
155,152,Dayton,37,128,3.5,Blocked Shots Per Game,2010,,,
156,153,Bethune-Cookman,33,114,3.5,Blocked Shots Per Game,2010,,,
157,-,Illinois St.,33,114,3.5,Blocked Shots Per Game,2010,,,
158,155,Indiana,31,107,3.5,Blocked Shots Per Game,2010,,,
159,156,UNLV,34,117,3.4,Blocked Shots Per Game,2010,,,
160,157,New Mexico,35,120,3.4,Blocked Shots Per Game,2010,,,
161,158,Wisconsin,33,113,3.4,Blocked Shots Per Game,2010,,,
162,159,East Carolina,31,106,3.4,Blocked Shots Per Game,2010,,,
163,160,Northern Ariz.,28,95,3.4,Blocked Shots Per Game,2010,,,
164,161,Wagner,31,105,3.4,Blocked Shots Per Game,2010,,,
165,162,Morehead St.,35,118,3.4,Blocked Shots Per Game,2010,,,
166,163,Eastern Ill.,31,104,3.4,Blocked Shots Per Game,2010,,,
167,164,UT Martin,29,97,3.3,Blocked Shots Per Game,2010,,,
168,165,Austin Peay,32,107,3.3,Blocked Shots Per Game,2010,,,
169,166,Buffalo,30,100,3.3,Blocked Shots Per Game,2010,,,
170,167,Michigan St.,37,123,3.3,Blocked Shots Per Game,2010,,,
171,168,Texas A&M,34,113,3.3,Blocked Shots Per Game,2010,,,
172,169,Louisiana Tech,35,116,3.3,Blocked Shots Per Game,2010,,,
173,170,Ga. Southern,32,106,3.3,Blocked Shots Per Game,2010,,,
174,-,Montana,32,106,3.3,Blocked Shots Per Game,2010,,,
175,-,Georgia St.,32,106,3.3,Blocked Shots Per Game,2010,,,
176,173,Bowling Green,30,99,3.3,Blocked Shots Per Game,2010,,,
177,174,Loyola (IL),30,98,3.3,Blocked Shots Per Game,2010,,,
178,175,Creighton,34,111,3.3,Blocked Shots Per Game,2010,,,
179,-,New Mexico St.,34,111,3.3,Blocked Shots Per Game,2010,,,
180,177,Princeton,31,101,3.3,Blocked Shots Per Game,2010,,,
181,178,Boston U.,35,114,3.3,Blocked Shots Per Game,2010,,,
182,-,Akron,35,114,3.3,Blocked Shots Per Game,2010,,,
183,180,North Dakota St.,29,94,3.2,Blocked Shots Per Game,2010,,,
184,181,Maine,30,97,3.2,Blocked Shots Per Game,2010,,,
185,182,East Tenn. St.,35,112,3.2,Blocked Shots Per Game,2010,,,
186,-,Norfolk St.,30,96,3.2,Blocked Shots Per Game,2010,,,
187,184,Alcorn St.,31,98,3.2,Blocked Shots Per Game,2010,,,
188,-,Cal St. Fullerton,31,98,3.2,Blocked Shots Per Game,2010,,,
189,186,DePaul,31,97,3.1,Blocked Shots Per Game,2010,,,
190,-,UNC Greensboro,31,97,3.1,Blocked Shots Per Game,2010,,,
191,188,NJIT,31,96,3.1,Blocked Shots Per Game,2010,,,
192,-,Texas St.,31,96,3.1,Blocked Shots Per Game,2010,,,
193,-,North Florida,31,96,3.1,Blocked Shots Per Game,2010,,,
194,191,Cal St. Northridge,32,99,3.1,Blocked Shots Per Game,2010,,,
195,192,Montana St.,29,89,3.1,Blocked Shots Per Game,2010,,,
196,193,UC Santa Barbara,30,92,3.1,Blocked Shots Per Game,2010,,,
197,194,Idaho,31,95,3.1,Blocked Shots Per Game,2010,,,
198,195,Rider,33,101,3.1,Blocked Shots Per Game,2010,,,
199,196,Cincinnati,35,107,3.1,Blocked Shots Per Game,2010,,,
200,197,Missouri St.,36,110,3.1,Blocked Shots Per Game,2010,,,
201,198,Ball St.,30,91,3.0,Blocked Shots Per Game,2010,,,
202,199,Albany (NY),32,97,3.0,Blocked Shots Per Game,2010,,,
203,-,Denver,32,97,3.0,Blocked Shots Per Game,2010,,,
204,Blocked Shots Per Game,2010,,,,,,,,
205,201,San Diego,32,96,3.0,Blocked Shots Per Game,2010,,,
206,-,Weber St.,31,93,3.0,Blocked Shots Per Game,2010,,,
207,-,UMBC,30,90,3.0,Blocked Shots Per Game,2010,,,
208,-,Central Conn. St.,30,90,3.0,Blocked Shots Per Game,2010,,,
209,-,St. Francis (NY),29,87,3.0,Blocked Shots Per Game,2010,,,
210,206,Notre Dame,35,104,3.0,Blocked Shots Per Game,2010,,,
211,-,Wichita St.,35,104,3.0,Blocked Shots Per Game,2010,,,
212,-,Temple,35,104,3.0,Blocked Shots Per Game,2010,,,
213,209,UCF,32,95,3.0,Blocked Shots Per Game,2010,,,
214,210,Belmont,31,92,3.0,Blocked Shots Per Game,2010,,,
215,211,Houston,35,103,2.9,Blocked Shots Per Game,2010,,,
216,212,Western Ky.,34,100,2.9,Blocked Shots Per Game,2010,,,
217,213,Oregon,32,94,2.9,Blocked Shots Per Game,2010,,,
218,214,La.-Monroe,31,91,2.9,Blocked Shots Per Game,2010,,,
219,-,Liberty,31,91,2.9,Blocked Shots Per Game,2010,,,
220,216,Old Dominion,36,105,2.9,Blocked Shots Per Game,2010,,,
221,217,Western Caro.,34,99,2.9,Blocked Shots Per Game,2010,,,
222,218,Iona,31,90,2.9,Blocked Shots Per Game,2010,,,
223,219,South Carolina St.,32,92,2.9,Blocked Shots Per Game,2010,,,
224,-,Eastern Mich.,32,92,2.9,Blocked Shots Per Game,2010,,,
225,221,Holy Cross,31,89,2.9,Blocked Shots Per Game,2010,,,
226,222,North Texas,33,94,2.8,Blocked Shots Per Game,2010,,,
227,-,Nebraska,33,94,2.8,Blocked Shots Per Game,2010,,,
228,224,Savannah St.,26,74,2.8,Blocked Shots Per Game,2010,,,
229,225,Lafayette,32,91,2.8,Blocked Shots Per Game,2010,,,
230,226,Central Mich.,30,85,2.8,Blocked Shots Per Game,2010,,,
231,-,Sacramento St.,30,85,2.8,Blocked Shots Per Game,2010,,,
232,228,UC Davis,32,90,2.8,Blocked Shots Per Game,2010,,,
233,229,Tulane,30,84,2.8,Blocked Shots Per Game,2010,,,
234,230,UC Irvine,32,89,2.8,Blocked Shots Per Game,2010,,,
235,-,Auburn,32,89,2.8,Blocked Shots Per Game,2010,,,
236,232,Southern Ill.,30,83,2.8,Blocked Shots Per Game,2010,,,
237,-,Navy,30,83,2.8,Blocked Shots Per Game,2010,,,
238,234,Florida,34,94,2.8,Blocked Shots Per Game,2010,,,
239,235,Idaho St.,29,80,2.8,Blocked Shots Per Game,2010,,,
240,236,Appalachian St.,37,102,2.8,Blocked Shots Per Game,2010,,,
241,237,Bradley,31,85,2.7,Blocked Shots Per Game,2010,,,
242,238,Oklahoma,31,84,2.7,Blocked Shots Per Game,2010,,,
243,239,UALR,30,81,2.7,Blocked Shots Per Game,2010,,,
244,240,Long Beach St.,33,89,2.7,Blocked Shots Per Game,2010,,,
245,-,Western Mich.,33,89,2.7,Blocked Shots Per Game,2010,,,
246,242,Kent St.,34,91,2.7,Blocked Shots Per Game,2010,,,
247,-,UAB,34,91,2.7,Blocked Shots Per Game,2010,,,
248,244,Hartford,30,80,2.7,Blocked Shots Per Game,2010,,,
249,245,Florida A&M,31,82,2.6,Blocked Shots Per Game,2010,,,
250,-,Rice,31,82,2.6,Blocked Shots Per Game,2010,,,
251,247,Ohio,37,97,2.6,Blocked Shots Per Game,2010,,,
252,248,San Jose St.,31,81,2.6,Blocked Shots Per Game,2010,,,
253,-,American,31,81,2.6,Blocked Shots Per Game,2010,,,
254,-,Virginia,31,81,2.6,Blocked Shots Per Game,2010,,,
255,Blocked Shots Per Game,2010,,,,,,,,
256,251,Grambling,28,73,2.6,Blocked Shots Per Game,2010,,,
257,252,Sam Houston St.,33,85,2.6,Blocked Shots Per Game,2010,,,
258,-,Mercer,33,85,2.6,Blocked Shots Per Game,2010,,,
259,-,Lehigh,33,85,2.6,Blocked Shots Per Game,2010,,,
260,255,Mississippi Val.,32,82,2.6,Blocked Shots Per Game,2010,,,
261,256,Army,29,74,2.6,Blocked Shots Per Game,2010,,,
262,-,Stetson,29,74,2.6,Blocked Shots Per Game,2010,,,
263,258,Oklahoma St.,33,84,2.5,Blocked Shots Per Game,2010,,,
264,-,William & Mary,33,84,2.5,Blocked Shots Per Game,2010,,,
265,260,Green Bay,35,89,2.5,Blocked Shots Per Game,2010,,,
266,261,Lipscomb,30,76,2.5,Blocked Shots Per Game,2010,,,
267,-,St. Francis (PA),30,76,2.5,Blocked Shots Per Game,2010,,,
268,263,Gardner-Webb,29,73,2.5,Blocked Shots Per Game,2010,,,
269,264,Arizona,31,78,2.5,Blocked Shots Per Game,2010,,,
270,265,Pacific,35,87,2.5,Blocked Shots Per Game,2010,,,
271,266,Middle Tenn.,33,82,2.5,Blocked Shots Per Game,2010,,,
272,-,Chattanooga,33,82,2.5,Blocked Shots Per Game,2010,,,
273,268,Eastern Wash.,30,74,2.5,Blocked Shots Per Game,2010,,,
274,-,Ill.-Chicago,30,74,2.5,Blocked Shots Per Game,2010,,,
275,270,California,35,86,2.5,Blocked Shots Per Game,2010,,,
276,271,SMU,31,76,2.5,Blocked Shots Per Game,2010,,,
277,272,Delaware St.,29,71,2.4,Blocked Shots Per Game,2010,,,
278,273,Colorado St.,32,78,2.4,Blocked Shots Per Game,2010,,,
279,274,Southeast Mo. St.,30,73,2.4,Blocked Shots Per Game,2010,,,
280,275,Arizona St.,33,80,2.4,Blocked Shots Per Game,2010,,,
281,276,Pepperdine,31,75,2.4,Blocked Shots Per Game,2010,,,
282,277,Tennessee St.,32,76,2.4,Blocked Shots Per Game,2010,,,
283,278,Northern Colo.,33,78,2.4,Blocked Shots Per Game,2010,,,
284,279,Delaware,31,73,2.4,Blocked Shots Per Game,2010,,,
285,-,Cal Poly,31,73,2.4,Blocked Shots Per Game,2010,,,
286,281,Tennessee Tech,32,75,2.3,Blocked Shots Per Game,2010,,,
287,282,New Hampshire,30,70,2.3,Blocked Shots Per Game,2010,,,
288,283,Milwaukee,34,79,2.3,Blocked Shots Per Game,2010,,,
289,284,UC Riverside,29,67,2.3,Blocked Shots Per Game,2010,,,
290,285,Eastern Ky.,33,76,2.3,Blocked Shots Per Game,2010,,,
291,286,Robert Morris,35,80,2.3,Blocked Shots Per Game,2010,,,
292,-,Dartmouth,28,64,2.3,Blocked Shots Per Game,2010,,,
293,288,Butler,38,86,2.3,Blocked Shots Per Game,2010,,,
294,289,Colorado,31,70,2.3,Blocked Shots Per Game,2010,,,
295,290,Centenary (LA),29,65,2.2,Blocked Shots Per Game,2010,,,
296,291,South Dakota St.,30,67,2.2,Blocked Shots Per Game,2010,,,
297,292,Monmouth,31,69,2.2,Blocked Shots Per Game,2010,,,
298,-,Longwood,31,69,2.2,Blocked Shots Per Game,2010,,,
299,294,Valparaiso,32,71,2.2,Blocked Shots Per Game,2010,,,
300,295,Stephen F. Austin,32,69,2.2,Blocked Shots Per Game,2010,,,
301,-,Chicago St.,32,69,2.2,Blocked Shots Per Game,2010,,,
302,-,Howard,32,69,2.2,Blocked Shots Per Game,2010,,,
303,298,Quinnipiac,33,71,2.2,Blocked Shots Per Game,2010,,,
304,299,Campbell,30,64,2.1,Blocked Shots Per Game,2010,,,
305,-,Utah Valley,30,64,2.1,Blocked Shots Per Game,2010,,,
306,Scoring Margin,2010,,,,,,,,
307,1,Kansas,36,2937,81.6,2312,64.2,17.4,Scoring Margin,2010.0
308,2,BYU,36,2992,83.1,2392,66.4,16.7,Scoring Margin,2010.0
309,3,Murray St.,36,2753,76.5,2175,60.4,16.1,Scoring Margin,2010.0
310,4,Duke,40,3081,77.0,2441,61.0,16.0,Scoring Margin,2010.0
311,5,Syracuse,35,2832,80.9,2324,66.4,14.5,Scoring Margin,2010.0
312,6,Kentucky,38,3012,79.3,2468,64.9,14.3,Scoring Margin,2010.0
313,7,Coastal Caro.,35,2584,73.8,2103,60.1,13.7,Scoring Margin,2010.0
314,8,Utah St.,35,2559,73.1,2097,59.9,13.2,Scoring Margin,2010.0
315,9,Ohio St.,37,2740,74.1,2274,61.5,12.6,Scoring Margin,2010.0
316,10,St. Mary's (CA),34,2668,78.5,2258,66.4,12.1,Scoring Margin,2010.0
317,11,Cornell,34,2545,74.9,2154,63.4,11.5,Scoring Margin,2010.0
318,12,Maryland,33,2629,79.7,2254,68.3,11.4,Scoring Margin,2010.0
319,13,Baylor,36,2771,77.0,2362,65.6,11.4,Scoring Margin,2010.0
320,14,Texas,34,2761,81.2,2381,70.0,11.2,Scoring Margin,2010.0
321,15,Missouri,34,2627,77.3,2252,66.2,11.0,Scoring Margin,2010.0
322,16,Marshall,34,2717,79.9,2347,69.0,10.9,Scoring Margin,2010.0
323,17,UTEP,33,2484,75.3,2131,64.6,10.7,Scoring Margin,2010.0
324,18,Xavier,35,2793,79.8,2433,69.5,10.3,Scoring Margin,2010.0
325,19,Wisconsin,33,2214,67.1,1878,56.9,10.2,Scoring Margin,2010.0
326,20,Sam Houston St.,33,2616,79.3,2284,69.2,10.1,Scoring Margin,2010.0
327,21,Kansas St.,37,2949,79.7,2584,69.8,9.9,Scoring Margin,2010.0
328,22,Memphis,34,2565,75.4,2233,65.7,9.8,Scoring Margin,2010.0
329,23,Siena,34,2554,75.1,2226,65.5,9.6,Scoring Margin,2010.0
330,24,Old Dominion,36,2415,67.1,2069,57.5,9.6,Scoring Margin,2010.0
331,25,VCU,36,2737,76.0,2392,66.4,9.6,Scoring Margin,2010.0
332,26,Gonzaga,34,2614,76.9,2291,67.4,9.5,Scoring Margin,2010.0
333,27,UNLV,34,2485,73.1,2168,63.8,9.3,Scoring Margin,2010.0
334,28,Butler,38,2611,68.7,2258,59.4,9.3,Scoring Margin,2010.0
335,29,Purdue,35,2467,70.5,2144,61.3,9.2,Scoring Margin,2010.0
336,30,Washington,36,2851,79.2,2519,70.0,9.2,Scoring Margin,2010.0
337,31,California,35,2703,77.2,2387,68.2,9.0,Scoring Margin,2010.0
338,32,Villanova,33,2700,81.8,2404,72.8,9.0,Scoring Margin,2010.0
339,33,Clemson,32,2350,73.4,2065,64.5,8.9,Scoring Margin,2010.0
340,34,West Virginia,38,2752,72.4,2414,63.5,8.9,Scoring Margin,2010.0
341,35,New Mexico,35,2655,75.9,2352,67.2,8.7,Scoring Margin,2010.0
342,36,San Diego St.,34,2389,70.3,2101,61.8,8.5,Scoring Margin,2010.0
343,37,Marquette,34,2485,73.1,2198,64.6,8.4,Scoring Margin,2010.0
344,38,Montana,32,2228,69.6,1960,61.3,8.4,Scoring Margin,2010.0
345,39,Minnesota,35,2533,72.4,2242,64.1,8.3,Scoring Margin,2010.0
346,40,Tennessee,37,2720,73.5,2413,65.2,8.3,Scoring Margin,2010.0
347,41,Morehead St.,35,2505,71.6,2216,63.3,8.3,Scoring Margin,2010.0
348,42,UNI,35,2216,63.3,1929,55.1,8.2,Scoring Margin,2010.0
349,43,Temple,35,2273,64.9,1987,56.8,8.2,Scoring Margin,2010.0
350,44,Michigan St.,37,2658,71.8,2361,63.8,8.0,Scoring Margin,2010.0
351,45,Arizona St.,33,2202,66.7,1938,58.7,8.0,Scoring Margin,2010.0
352,46,Vanderbilt,33,2537,76.9,2274,68.9,8.0,Scoring Margin,2010.0
353,47,Dayton,37,2599,70.2,2305,62.3,7.9,Scoring Margin,2010.0
354,48,Mississippi St.,36,2622,72.8,2336,64.9,7.9,Scoring Margin,2010.0
355,49,Florida St.,32,2183,68.2,1932,60.4,7.8,Scoring Margin,2010.0
356,50,Wofford,35,2408,68.8,2134,61.0,7.8,Scoring Margin,2010.0
357,Scoring Margin,2010,,,,,,,,
358,51,Miami (FL),33,2390,72.4,2136,64.7,7.7,Scoring Margin,2010.0
359,52,Mississippi,35,2743,78.4,2474,70.7,7.7,Scoring Margin,2010.0
360,53,Virginia Tech,34,2473,72.7,2215,65.1,7.6,Scoring Margin,2010.0
361,54,Wichita St.,35,2427,69.3,2162,61.8,7.6,Scoring Margin,2010.0
362,55,Harvard,29,2145,74.0,1928,66.5,7.5,Scoring Margin,2010.0
363,56,Georgetown,34,2500,73.5,2246,66.1,7.5,Scoring Margin,2010.0
364,57,IUPUI,36,2681,74.5,2420,67.2,7.3,Scoring Margin,2010.0
365,58,Georgia Tech,36,2621,72.8,2365,65.7,7.1,Scoring Margin,2010.0
366,59,Princeton,31,1871,60.4,1652,53.3,7.1,Scoring Margin,2010.0
367,60,Notre Dame,35,2635,75.3,2393,68.4,6.9,Scoring Margin,2010.0
368,61,Pittsburgh,34,2336,68.7,2101,61.8,6.9,Scoring Margin,2010.0
369,62,Texas A&M,34,2426,71.4,2192,64.5,6.9,Scoring Margin,2010.0
370,63,Northern Colo.,33,2426,73.5,2202,66.7,6.8,Scoring Margin,2010.0
371,64,Quinnipiac,33,2415,73.2,2194,66.5,6.7,Scoring Margin,2010.0
372,65,Wright St.,32,2163,67.6,1950,60.9,6.7,Scoring Margin,2010.0
