Team Name,Year,Assists Per Game,Turnovers Per Game,Personal Fouls Per Game,Steals Per Game,Free-Throw Percentage,Field-Goal Percentage,Three-Point Field-Goal Percentage,Turnover Margin,Blocked Shots Per Game,Scoring Margin,Won-Lost Percentage,Three Pt FG Defense,Scoring Offense,Scoring Defense,Three-Point Field Goals Per Game,Rebound Margin,Field-Goal Percentage Defense,Qualified
UTSA,2010,11.7,11.6,6,6.6,76.1,44,36.3,1.9,1.7,4.6,63.3,28.4,70.7,66.1,6.3,2,44.9,No
UTSA,2011,12.6,13.6,12,7.1,70.5,42.9,35.1,0.6,2.2,0.6,58.8,33.2,70.1,69.5,6.9,-1.6,41.9,Yes
UTSA,2012,13.5,13.8,13,8.2,74.3,44.7,39.4,2.3,3,5.3,56.3,32.3,73.1,67.8,8.5,-2.5,41.9,No
UTSA,2013,10.1,13.5,9,6.2,67.6,40.1,33.4,-0.1,1.3,-5.5,31.3,35.4,64,69.5,7.4,-3.8,46.2,No
UTSA,2015,12.3,12.3,5,7.1,69.9,42.2,32.5,1.4,2.3,0.3,46.7,36.3,70.7,70.4,6.4,2.2,45,No
Savannah St.,2016,10.3,14.8,6,6.3,65.9,39.6,31.5,0.8,2.6,-5.5,50,34.8,62.2,67.7,6.4,-4.1,43.6,No
Savannah St.,2017,17.3,14.9,4,7.8,64.8,41,33.2,1,3.2,-6.2,44.8,33.2,85.7,91.9,13.5,-8.3,45.2,No
Savannah St.,2018,15.8,14,10,9.4,69.6,40,30,4,2.8,-7.4,46.9,35.6,86.1,93.5,12.2,-9.5,49.3,No
Savannah St.,2011,10.5,14.9,11,7.2,66.1,41,31.1,0.3,3.5,0.3,40,31.5,60.6,60.3,5.5,-1,40.3,No
Savannah St.,2012,12.8,14.8,13,7,58.9,41.7,32.8,1.4,3.4,4.2,63.6,29.6,63.3,59.1,5.8,4.7,42.6,No
Savannah St.,2015,9.3,16.5,13,8.9,57.6,41,25.2,0.4,2.4,-10.1,29,36.2,56.7,66.8,3.4,-3.9,46.7,No
Md.-East. Shore,2010,11.2,15.2,17,5.4,64.4,40.1,30.5,-3.1,2.1,-8.5,34.4,29.8,60.8,69.3,5,0.4,44.3,No
Md.-East. Shore,2011,12.3,14.5,22,6.6,65.3,40.5,29,0.7,1.6,-10.1,29,35.4,67.6,77.7,5.3,-4.4,47.2,No
Maine,2016,14.4,16.4,17,8.3,65.6,43.2,33.9,0.2,3,-10.9,26.7,36.9,76,86.9,7.6,-5.3,49.7,No
Maine,2017,11.8,13.1,10,5.2,65.4,40.3,31.9,-1.5,2,-10.3,21.9,35.9,64.7,75,6.6,-2.3,46.1,No
Maine,2018,11.8,15.5,16,6.4,68.9,40.8,30.2,-1.9,2.9,-8.4,18.8,33.8,66.9,75.3,7,-3.4,43.9,No
Maine,2011,13.2,12.9,15,5.6,69.9,46.1,35.4,-0.8,3.4,2.6,50,36.9,69.6,67,6.4,0.6,41.9,No
Maine,2012,14.1,13.1,22,6.1,73.2,44.2,32.6,0,4.3,0.2,41.4,34.9,68.6,68.3,5.8,-2.3,41.4,No
Maine,2013,12.8,15,18,7,65.5,43.4,29.4,-2.8,4.1,-3.4,36.7,35.5,66.3,69.7,5.2,1,41.7,No
Maine,2015,13.1,14.4,14,6,72.6,40.5,32.3,-1.7,1.1,-14.4,10,37.6,60.4,74.8,6.6,-6.7,49.1,No
Dartmouth,2016,13.1,14.3,9,6.9,72.3,43.6,34.1,0.4,1.8,0.1,35.7,34.7,71.1,71,5.6,2.5,45.1,No
Dartmouth,2017,11.4,14.9,7,4.7,70.9,43.2,35.3,-4,1.8,-7.7,25.9,35,67.1,74.8,7.4,0.6,46.9,No
Dartmouth,2018,13.3,13.5,3,5.6,71.4,44.8,35.9,-1,3.2,-4.8,25.9,34.9,68.2,73,7.4,-2,46.6,No
Dartmouth,2011,9.2,13.7,8,6.4,69.7,39.5,32.6,0.4,2.6,-11.5,17.9,37,59.5,71,5.1,-7.3,45,No
Dartmouth,2012,9.7,13.9,12,5.4,70.5,39.4,33.3,-1.8,2.4,-5.9,16.7,36.7,57.6,63.5,5.1,-0.4,42.3,No
Dartmouth,2013,10.6,13.5,10,7,72.9,40.7,33.6,0.2,2.5,-4.5,32.1,35.4,61.4,65.9,5.7,-2.2,44.2,No
Dartmouth,2015,12.3,12.9,12,7.7,64.6,43.5,34.6,0.6,3.4,0.2,48.3,35.4,63.3,63.1,6,0.8,43.1,No
Michigan,2016,14.9,9.7,3,5.6,73.8,46.2,38,2.4,2.3,6.4,63.9,34.6,73.8,67.4,9.5,-1.1,44.8,Yes
Michigan,2017,13.9,9.2,10,5.8,77.9,48.3,38.5,3.4,2.9,8.6,68.4,37.8,75,66.4,9.5,-2.6,46.5,Yes
Michigan,2018,14.3,9.3,9,6.4,66.1,46.8,35.7,3.7,3.1,10.3,80.5,32.8,73.6,63.3,8.8,0.3,42.6,Yes
Michigan,2010,14.3,10.2,5,7,72.3,41.6,29.9,3.9,2.1,2.8,46.9,32,64.3,61.6,7.1,-3.8,44.3,No
Michigan,2011,13.7,10,8,4.8,69.9,44.8,35.2,1.7,2,4,60,31.9,66.5,62.5,8.1,-1.8,42.9,No
Michigan,2012,12.7,10.9,11,4.9,72.2,45.5,35,1.6,2.1,4.9,70.6,34.5,66.3,61.5,8.1,-0.9,42.8,No
Michigan,2013,14.5,9.4,1,6.1,70.1,48.4,38.5,2.6,2.8,11.9,79.5,32.5,75.2,63.3,7.6,2.9,42.4,Yes
Michigan,2015,11.9,9.6,4,5.4,75.4,42.6,35.9,2.5,1.8,0.8,50,34.3,64.7,63.9,7.8,-3.9,44.9,No
Idaho St.,2016,12.3,13.2,12,7.3,72.7,43.5,36.4,-0.4,2.9,-1.9,51.6,33.5,74.1,76,8.1,-2.8,44.8,No
Idaho St.,2017,10.2,13.5,12,7.2,68.4,43.4,35.9,-0.5,2.4,-10.4,16.1,39.6,69.8,80.2,7.6,-7.5,48.1,No
Idaho St.,2018,11.8,13.6,15,5.6,67.8,47.5,39.6,-1.7,2.4,-0.7,46.7,33.8,73.7,74.4,8.4,-2.6,45.6,No
Idaho St.,2012,12,14,11,7,68.4,42.1,34.3,1.1,2.3,-7.1,30,39.1,66,73.1,6.4,-3.6,47.7,No
Idaho St.,2013,10.2,12,5,7,68.1,40.7,31.7,0.8,3.3,-7.3,20,37.4,57,64.3,5.4,-5.9,44.6,No
Idaho St.,2015,11.2,11.8,10,6.9,65.1,44,35.2,0.3,2.6,-4.6,23.3,36.7,64.6,69.2,4.9,-1.8,43.6,No
Navy,2016,13.6,13,14,5.7,64,45.5,30.1,0.3,3.8,2.9,57.6,35.4,67.6,64.7,4.3,4.7,41.3,No
Navy,2017,13.5,14.5,16,7.1,64.1,42.2,30.7,1,2.1,0.7,50,35.7,64.9,64.2,6.4,5.4,45.5,No
Navy,2018,14.1,14.1,7,6.4,71.9,44.4,33.1,0.4,1.3,2.3,62.5,36.4,68.7,66.4,6.4,5.4,45.2,No
Navy,2010,13.1,14.8,21,7,71.3,40.8,34.9,1.8,2.8,-4.1,43.3,34.9,71.3,75.4,8.2,-6.5,45.1,No
Navy,2011,12.5,15.3,21,9.2,70.9,39.3,29.4,3.8,2.6,-4.5,35.5,34.5,68.2,72.7,7.6,-9.4,44.4,No
Navy,2012,11.4,14.6,12,7.5,68.4,40.6,28.1,-0.6,1.9,-8.3,10.3,37.5,57.9,66.2,5.4,-1.1,47.2,No
Navy,2013,11.7,11.3,3,5.9,62.7,39.1,32.6,1.9,2.2,-5.8,25.8,31.9,55.1,60.9,5.5,-6.1,42.8,No
Navy,2015,13.2,12.2,6,5.9,67.1,43.9,32.8,0.4,3.3,-3.3,40.6,38.6,61,64.3,5.3,-0.5,45.4,No
Utah Valley,2016,14.5,13.3,19,5.9,72.3,42.8,35.1,-0.5,3.2,-2.7,40,32.6,76,78.7,8.5,-3.4,44.7,No
Utah Valley,2017,15.6,15.4,13,6.4,70.7,43.7,32,-1.5,3.6,4,50,31.6,76.9,72.9,8.8,1.8,41.5,No
Utah Valley,2018,16.1,13.9,10,6,74.2,48.3,38.6,-1.6,4.1,10.2,67.6,32,78.1,67.9,7.9,6.6,41.3,No
Utah Valley,2010,12.1,13.4,16,6.1,74.8,41.3,35.5,-0.3,2.1,-1.6,40,34.8,63.5,65.1,5.9,-0.2,43.9,No
Utah Valley,2011,13.9,13.8,10,5,75.8,44.2,36.1,-1.5,3.1,7.4,63.3,33.4,75.9,68.5,6.6,6.3,41.2,No
Utah Valley,2012,13.4,12.7,9,6.5,69.8,42.4,31.6,-0.6,3.7,3.5,60.6,30,69.8,66.4,5.7,4.2,41.4,No
Utah Valley,2013,14.3,12.2,9,6.3,71,45.3,33.4,0,3,-0.3,43.8,32.8,67.4,67.7,5.7,-1.2,43.7,No
Utah Valley,2015,12.9,12.8,6,4.5,69.5,40,29.9,-1.7,2.3,-5.5,36.7,33.7,58.6,64.1,5.6,-0.3,43.1,No
Colorado St.,2016,13.4,11.6,16,3.9,71.8,42.5,36.4,-1.1,2.3,2.2,52.9,35.2,79.4,77.2,9.6,5.4,45.1,No
Colorado St.,2017,11,10.9,12,6.1,73.1,42.5,33.9,0.7,3.4,4.6,66.7,31.7,72.5,68,7.1,2.7,40.7,No
Colorado St.,2018,12.8,13.3,20,5.9,71.7,41.8,32.9,-0.6,3.2,-7,34.4,35.9,72.3,79.3,7,1.1,45.8,No
Colorado St.,2010,10.6,15.2,22,7.2,67.6,43,35.3,-0.6,2.4,-0.4,50,35.2,66.3,66.7,5.5,2.4,43.2,No
Colorado St.,2011,13.3,14.1,13,7.3,69.2,46.7,33.3,-0.2,2.6,3.5,59.4,33.4,71.2,67.7,5.8,1.5,42.9,No
Colorado St.,2012,12.2,12.8,18,5.4,76.8,47.1,40,-0.8,1.9,2.1,62.5,35.5,70.1,68,5.9,1.3,43.5,No
Colorado St.,2013,12.7,11.1,7,4.6,71.5,44.9,33.8,-0.3,2.1,9.3,74.3,33.9,72.9,63.7,5.1,11.9,41.4,No
Colorado St.,2015,14.7,10.6,8,5.6,67.4,44,35.1,1.3,3.4,8,79.4,36.4,72.2,64.1,7.2,6,42.2,No
Central Mich.,2016,13.4,9.2,10,4.7,71.9,44.1,35.3,1.6,2.7,2.8,51.5,34.7,75.6,72.8,9.8,-2.4,44.4,No
Central Mich.,2017,11.3,11.3,19,5.6,79.1,42.4,35.8,1.1,2.9,0.6,50,34.6,88.3,87.7,12.5,-3.8,46,No
Central Mich.,2018,13.7,11.6,11,6.3,80.6,43.6,34.3,1.3,3.3,4.8,58.3,34.8,78.8,73.9,9.9,1,44.5,No
Central Mich.,2010,10.7,14.2,23,8.2,66.4,41,37.2,1.1,2.8,0.4,50,35.1,64.6,64.1,7.6,1.1,42.6,No
Central Mich.,2011,8.7,13.5,19,7.2,62.9,38.4,32.6,1.3,3.6,-5.3,32.3,36.3,59.4,64.7,5,-1.2,45.6,No
Central Mich.,2012,10.3,12.3,16,6.7,63.5,39.5,33.4,2.3,3.3,-4.8,34.4,37,61.9,66.7,6.3,-3.5,43,No
Central Mich.,2013,13,13,7,6.7,73.1,40.9,33.2,0.3,2.1,-4.3,35.5,37.6,67.5,71.8,8.1,-3,47.8,No
Central Mich.,2015,14,10.2,8,7.1,72.5,46.7,37.3,3.3,2.6,9.9,71.9,34.6,78.3,68.3,10.1,0.1,44.5,No
North Dakota,2016,13.3,13.2,19,7.8,68.2,45.5,35.9,1.4,2.7,3.3,51.5,34.2,75,71.7,6.2,0.4,43.8,No
North Dakota,2017,15.2,13.1,26,7.8,71.3,48.3,39,1.9,2.9,6.9,68.8,35.1,80.6,73.7,7.1,0.7,44.3,Yes
North Dakota,2018,12.8,13.1,17,7.9,70.6,45.9,34,1.8,1.8,-5.8,37.5,37.4,75.8,81.6,7.3,-6.8,49,No
North Dakota,2013,11.7,12.8,18,7.8,71.1,42.3,34.3,1.2,3.7,-0.6,48.5,33.6,67.3,68,6.3,-1.8,43.2,No
North Dakota,2015,11.8,12.4,13,6.3,67.8,43.6,33.1,0.9,3.1,-5.6,26.7,38,67.7,73.4,6,-3.6,46.5,No
McNeese,2016,11.4,12.8,13,5.9,70,41,33.2,-1.1,4.3,-7.5,31,37.4,71.8,79.3,7.1,-4.1,46.1,No
McNeese,2017,10.4,13.9,21,5.5,68.5,42.1,33.2,-0.7,3.1,-8.6,24.1,34.9,70.4,79,6.7,-7.4,44.9,No
McNeese,2018,10.9,14,12,5.2,70.6,43.4,34.8,-2,4.6,-2.2,39.3,34.6,75,77.2,7.2,0,43.3,No
Eastern Ky.,2016,15.9,14.7,19,7,73,49.1,39.5,0.3,3.1,1.4,48.4,37.6,80.5,79.1,8.3,-3.3,46.1,No
Eastern Ky.,2017,13.8,13.9,16,6,70.5,42.8,32.1,-0.1,3.7,-4.3,38.7,35,70.9,75.2,7.6,-4.4,44.4,No
Eastern Ky.,2018,13.1,12.9,7,6.2,74.7,43.7,35.4,0.4,3.6,-4.5,35.5,39.1,71.9,76.5,7.3,-2.7,47.1,No
Eastern Ky.,2010,15.6,9.7,11,7.1,72.2,47.3,39.7,4,2.3,4.3,60.6,39.8,71.2,66.9,9.9,-6.5,46.5,No
Eastern Ky.,2011,14.1,12.1,10,6,74.2,44.6,36.8,1.9,2.7,2.9,48.4,36.2,66,63.1,8,-3.5,44.7,No
Eastern Ky.,2012,11.8,10.8,14,7.5,73.3,43.4,33.9,2.7,1.8,0.2,50,31.7,66.3,66.2,7.2,-4.1,45.8,No
Eastern Ky.,2013,14.9,11.8,24,8.9,78,46.7,35.5,5.7,2.2,8.1,71.4,31.4,73.9,65.8,8.8,-5.7,45.3,No
Eastern Ky.,2015,15,11.3,11,9.7,77.9,46.4,35.7,7.2,3,8.3,63.6,38.9,71.9,63.6,9.1,-6.8,44.8,No
Denver,2016,14.3,13,9,6.4,77,47.6,38.3,1.2,2.3,-0.1,51.6,37.1,65.2,65.3,7.6,-5.3,45.4,No
Denver,2017,15.1,13.5,15,5,73.4,48.2,40.2,-2.7,2.1,1.1,53.3,35.8,75.8,74.6,7.4,4.2,44.5,No
Denver,2018,15.1,15,22,4.3,69.4,47.3,40,-3.9,2.4,0.1,50,33.5,73.1,73,7,6,43.4,No
Denver,2010,14.5,11.8,19,5.7,71.4,49,39.5,1,3,2.1,59.4,37.9,65,62.9,7.8,-5.8,46,No
Denver,2011,13.2,12.4,23,5.5,72.5,45.4,40.1,1.6,3.5,-0.6,43.3,40.9,60,60.6,7.7,-5.7,45.6,No
Denver,2012,15.6,12.1,10,7.2,76.2,48.8,39.8,2.5,4.4,7.6,71,36.3,68.1,60.5,8.2,-4,43.7,No
Denver,2013,16.1,11.2,7,9,71.9,48,37.5,4.6,4.5,8.9,68.8,33.1,64.9,55.9,7.9,-6,43.2,No
Denver,2015,15.2,11.3,25,6,76.6,48,38,0.8,1.8,-0.8,40,37.1,62.2,63,7.5,-4.7,47.4,No
Wisconsin,2016,11.4,11,9,5.9,70.3,42.6,34.9,0.9,3.3,4,62.9,37.3,67.8,63.8,6.5,3.1,42.6,No
Wisconsin,2017,13.6,11.1,7,6.8,64.4,45.5,35.9,1.6,3.5,10,73,37.6,72.4,62.4,7.6,6.3,41.2,No
Wisconsin,2018,12.5,10.7,10,5.5,69.9,44.8,33.5,1,3.5,0.9,45.5,35,66.8,66,6.5,-0.5,45.9,No
Wisconsin,2010,12.5,8.8,6,5.7,73.2,44.3,35.7,3.2,3.4,10.2,72.7,34.3,67.1,56.9,7.5,1.6,42.4,No
Wisconsin,2011,13,7.6,11,3.6,81.8,44.1,37.4,2.1,3.1,9.4,73.5,37,67.9,58.6,8.2,3.5,42.8,No
Wisconsin,2012,11.9,8.9,6,5,73.9,42.5,36.8,1.9,3.5,10.8,72.2,29.4,64,53.2,7.9,2.3,38.9,No
Wisconsin,2013,13.3,9.8,7,5.7,63.4,42,33,1.4,4.4,9,65.7,28.9,65,55.9,7.4,3.5,39.4,No
Wisconsin,2015,12.6,7.4,4,4.4,76.3,47.9,36.5,2.1,3.2,14.3,90,37.5,72.5,58.2,7.2,5.8,42.8,Yes
Texas,2016,11.4,10.3,12,5.1,66.6,43.2,34.1,2.1,4.4,3.1,60.6,34.5,71.4,68.3,7,-1.3,42,No
Texas,2017,11.4,13.4,13,5.8,65,43.9,29.2,-0.9,4.5,-1.8,33.3,32.6,67.1,68.9,5.5,-1.5,42.4,No
Texas,2018,11.6,11.8,11,6.1,66.5,43.9,32,0.7,4.9,3.3,55.9,33.2,72.1,68.8,7.2,0.1,42.5,No
Texas,2010,14.4,13.6,14,7.9,63.3,46.6,34.5,1.5,5.7,11.2,70.6,32.2,81.2,70,5.7,5.9,40.3,No
Texas,2011,13.5,11.8,5,5.8,65.4,45.5,37.6,1,5.1,12.9,77.8,29.5,75,62.2,5.6,6.4,38.7,No
Texas,2012,12.3,12.5,23,6.8,73.3,43.4,32.8,1,3.7,5.9,58.8,34.8,72.6,66.8,5.8,2.8,41.6,No
Texas,2013,11.5,14.7,20,6.4,65.9,41.3,29.7,-1.6,4.8,-0.1,47.1,29.1,65.6,65.6,5.1,0.9,38.4,No
Texas,2015,13,12.8,7,3.8,72.4,43.3,33.9,-3.9,7.8,7.1,58.8,34.7,67.4,60.3,6.2,8.5,36.8,No
Jackson St.,2016,12.4,12.4,16,7.8,63.1,40.7,31.1,2.1,3.6,2.8,55.6,30.6,68.2,65.4,6.8,2.2,39.2,No
Jackson St.,2017,10.9,12.2,19,6.2,67.4,38.5,29.9,1.6,2.6,-2.3,43.8,33.3,64.6,66.9,6.8,2.2,43.4,No
Jackson St.,2018,10.9,11.5,14,7.3,65.4,37.2,32.9,3.3,2.8,-5.3,37.5,34.7,62.2,67.5,7.4,-3.6,45,No
Jackson St.,2010,11.2,14.7,22,5.9,64.5,39.5,32.8,-1.3,3.7,-1.9,59.4,32.1,63.4,65.3,5.5,2.6,40.2,No
Jackson St.,2011,13.3,15,12,7.8,63.7,41.9,33,2,3.2,2.7,53.1,34.7,65.5,62.8,5.9,2.6,43.1,No
Jackson St.,2013,9.5,12.8,10,8.3,69.9,39,31.2,1.9,2.2,-5.3,37.9,31.5,66.2,71.5,6.2,-6.4,44.9,No
Jackson St.,2015,10.1,14.3,16,6.3,64.7,38.7,27.4,0.5,2.5,-2.8,34.4,34.1,60.7,63.5,4.8,4.4,42.3,No
Lafayette,2016,13.9,13,13,5.7,69.1,43.5,36.5,-1.1,2.3,-9,20,35.7,71.4,80.4,8.2,-7.8,46.4,No
Lafayette,2017,12.6,14.5,6,4.9,71.1,43,33.4,-1.6,2.8,-9.6,30,37.9,66.5,76.1,7.4,-5.5,45.7,No
Lafayette,2010,15.1,13.2,7,7.3,76.4,45.3,37.3,1.4,2.8,1,59.4,38.7,72.5,71.5,8.1,-4.5,45.6,No
Lafayette,2011,14.9,13.4,14,6.2,76.1,42.9,35,0.4,2.5,-2.3,40.6,35.7,69.9,72.2,7.7,-3.7,44.9,No
Lafayette,2012,12.4,12.6,5,5.3,76.3,43.8,38.5,-0.4,2.6,-3.2,41.9,38.4,69.7,72.9,9.1,-5.8,46.8,No
Lafayette,2013,14.3,12.5,5,6.8,75.4,45.7,38.4,1.2,3.1,0.1,55.9,36.2,69.1,69,8.1,-4,46.4,No
Lafayette,2015,15.6,11.1,4,5.5,76.7,48.5,40.8,-0.1,2.5,0.5,60.6,38.1,73.5,73,7.9,-2.2,46.1,Yes
UNLV,2016,15.1,14.1,16,8.1,68.1,44,33.2,1.2,5.2,4.7,54.5,33,78.2,73.5,7.6,-0.5,41.4,No
UNLV,2017,12.9,12.8,10,5.9,69.6,39.5,32,-1,2.7,-6.3,34.4,37.8,68.8,75.2,6.7,-0.3,45.1,No
UNLV,2018,16.2,14.3,7,5.6,70.5,48.9,33.4,-2.7,4.4,5.3,60.6,35.2,83.4,78.1,5.6,5.6,43.1,No
UNLV,2010,16.2,11.6,11,7.8,71.6,46.1,33.2,4.1,3.4,9.3,73.5,33.2,73.1,63.8,6.8,-0.7,39.9,Yes
UNLV,2011,15.4,12.5,8,8.1,68.9,45.9,33,3.7,3.7,8.7,72.7,32.9,71.6,62.9,5.6,1.4,40.5,Yes
UNLV,2012,17.6,13.3,14,8.5,67.6,45.7,36.4,2.1,4.8,10.4,74.3,33.7,76.3,65.9,8.3,2.9,41,Yes
UNLV,2013,16.1,13.9,9,7.2,70.3,43.6,32.9,-0.9,5.8,8.3,71.4,31.2,71.3,63,6.5,6.4,38.9,Yes
UNLV,2015,13.7,11.4,8,5.5,66.3,44.5,36.9,-0.6,6.8,3.8,54.5,34.5,68.2,64.4,7.2,-1.5,39.5,No
IPFW,2011,14.5,12.2,21,5,77.2,45.7,38.5,1.9,3,4.2,60,33.6,74.3,70.1,8,-0.2,45.8,No
IPFW,2012,13.7,14.5,10,6.3,68.3,45.1,33,-0.7,2.4,-4.7,36.7,38.3,70,74.7,5.5,1.6,46.7,No
IPFW,2013,12.5,13.6,3,7.6,64.2,43.9,35.8,-0.1,2.6,1.1,48.5,32.3,67.1,66,6.7,2.9,45.4,No
IPFW,2015,14.3,11.8,12,5.7,68.5,47,35.7,-0.6,3,2.9,51.6,35.2,70,67.1,7.1,0.4,44.6,No
TCU,2016,11.6,14.5,16,6.5,67.1,40.6,33.5,0.3,3.8,-4.5,36.4,34.8,66.9,71.5,5.7,-2.8,44.7,No
TCU,2017,16.9,12.9,7,6.6,68.6,46.6,35.4,0.1,4.5,5,61.5,36.1,74.7,69.7,7.2,3.7,44.3,No
TCU,2018,18.6,12.7,12,6.5,70.6,49.6,39.5,-0.3,3.6,6.7,63.6,37.6,82.1,75.4,8.3,6,45.7,No
TCU,2010,13.8,14,19,5.3,70,44.5,35.2,-1.3,1.9,-3.1,40.6,34,67.8,70.9,7.8,-1.3,46.5,No
TCU,2011,14.4,12.7,13,6.3,67.4,43.6,35,0.6,2.2,-3,33.3,32.9,67.3,70.2,6.5,-1.6,46,No
TCU,2012,13.5,13.8,15,6.9,69.1,43.5,35.8,1.8,2.4,0.1,54.5,37.4,72.2,72.1,7.2,-1.2,47.8,No
TCU,2015,13.2,12,15,6.3,61.5,43.7,32.7,1.1,5.3,5.8,54.5,33.5,68.2,62.4,4.5,2.6,40,No
UT Arlington,2016,16.9,13.8,9,7.5,69.6,42.5,32.6,1.3,2.8,9.9,68.6,33.6,78.9,69.1,8.8,8.4,39.6,No
UT Arlington,2017,15.8,13.1,9,7.4,68.1,46.1,33.7,1.5,2.3,8.4,75,31.8,78.3,69.9,8.6,3.4,41.2,No
UT Arlington,2018,16,14.9,12,6.7,69,45.1,35.9,-0.5,4.2,4.1,61.8,33.5,77.6,73.5,8.6,3.3,41.2,No
Stephen F. Austin,2015,17.5,14,9,7.6,73.6,48.7,37.9,3.2,3.5,14.3,85.3,33.4,78.6,64.3,7.7,5.4,43.8,No
James Madison,2016,12.7,11.9,19,4.3,68.5,44.9,35.9,-1.1,3,6.5,65.6,29,75.2,68.7,8.7,3.5,39.6,No
James Madison,2017,11.7,14.2,13,5.9,71.6,44.4,33.1,-2.3,2.7,-3.2,30.3,34.6,66.5,69.7,6.3,3.3,43.9,No
James Madison,2018,12.1,12,24,7.1,72.9,42,33.2,1.3,3.3,-2.3,31.3,36.6,73.2,75.4,7.2,-0.3,45,No
James Madison,2010,14,14.5,15,6.2,68.3,44,31.2,-2.4,4.2,-2.9,39.4,33.8,67,69.9,5.7,-1.2,42.4,No
James Madison,2011,13.8,12.8,14,5.4,71.1,45.8,37.8,-0.8,3.8,3,63.6,36.2,71.4,68.4,6,3,42.8,No
James Madison,2012,13.4,12.9,25,6.7,66.6,42.2,36.7,0.6,2.6,-3.8,37.5,36.3,66.1,69.8,7.8,-5.2,43.7,No
James Madison,2013,11.8,11.1,11,7.6,69.9,42.1,33.6,2.5,4.6,0.6,58.3,34.7,65.2,64.6,5.9,-1.6,42.8,Yes
James Madison,2015,12.7,13.1,12,6.4,70.4,45.1,37.2,-1.5,2.4,-1.1,57.6,35.7,67.2,68.3,6.9,-0.8,43.4,No
Ark.-Pine Bluff,2016,9.6,15.6,18,7.1,61.1,39.1,30.3,-2.4,3.8,-13.8,24.2,32.3,56.6,70.4,6.1,-7.4,43.9,No
Ark.-Pine Bluff,2017,10.4,18.1,13,8.7,65.2,40.3,33.5,-1.3,2.9,-10.7,21.9,31.8,61.8,72.5,6.5,-4.4,44.8,No
Ark.-Pine Bluff,2018,12.2,14.2,16,7.9,67.5,43.7,32.9,1.1,4.1,-5.5,40,32.9,65.9,71.4,6.2,-8.8,43.3,No
Ark.-Pine Bluff,2011,11.5,16.7,30,7.5,62.7,38.9,34.4,-1.3,2.2,-12,22.6,37.1,59.7,71.6,6.2,-4.5,46.2,No
Ark.-Pine Bluff,2013,12.7,14.4,11,9.9,63.1,40,30.2,1.8,3.3,-3.9,53.3,31.7,62.7,66.6,5.3,-3.7,40.4,No
